sample	gene	is_MET_pos	n_seg	cn_rel_median	cn_rel_mean	cn_rel_max	cn_rel_min	cn_abs_median	cn_abs_mean	cn_abs_max	cn_abs_min	pval_min	conf
A269010006	RET	FALSE	12	1.06719809673464	1.08701895672577	1.20414685042291	1.03669155375659	2.13439619346928	2.17403791345154	2.40829370084581	2.07338310751318	0.100041766305277	0.999818649110035
A269010006	TSC2	FALSE	4	0.996211118523587	0.989569577025595	1.05764575429157	0.908210316763633	1.99242223704717	1.97913915405119	2.11529150858315	1.81642063352727	0.106266887662713	0.97360203882184
A269010007	CCND1	FALSE	5	1.12370331737668	1.15623713529791	1.23976167418367	1.0875363504419	2.24740663475336	2.31247427059582	2.47952334836735	2.1750727008838	0.126200174927489	0.898940043110977
A269010007	CDK4	FALSE	7	2.27556667703323	2.37979495947975	2.80297780673298	2.14429498035838	4.55113335406647	4.75958991895949	5.60595561346595	4.28858996071676	0.0470805768126313	1.32715822499155
A269010007	CREBBP	FALSE	29	0.975939753842673	0.972147693816013	1.09362692446193	0.876338140864398	1.95187950768535	1.94429538763203	2.18725384892386	1.7526762817288	0.105285716961798	0.977630541116593
A269010007	DDR2	FALSE	7	1.0249416455704	1.02052281930654	1.02801728727504	1.00948700257325	2.04988329114079	2.04104563861308	2.05603457455009	2.01897400514649	0.502830922003399	0.298578022866518
A269010007	EGFR	FALSE	29	1.01359708705975	1.0185143376076	1.11697627979466	0.963148653862867	2.0271941741195	2.03702867521521	2.23395255958932	1.92629730772573	0.146828755474814	0.833188882287285
A269010007	ERBB2	FALSE	21	1.07261390662868	1.0119799812298	1.17340594428972	0.55348829872407	2.14522781325735	2.02395996245959	2.34681188857943	1.10697659744814	0.0461338527293541	1.33598027508543
A269010007	FGFR3	FALSE	16	1.07894545679599	1.07187565125184	1.21422262847284	1.0074356985907	2.15789091359198	2.14375130250367	2.42844525694567	2.01487139718141	0.1661657167879	0.779458574689555
A269010007	GATA3	FALSE	7	1.11097023256602	1.0776403601069	1.1460083449889	0.97142115377663	2.22194046513204	2.1552807202138	2.29201668997779	1.94284230755326	0.252829145591592	0.59717286298462
A269010007	MDM2	FALSE	13	0.954646819808434	0.952873702408331	0.990166849125473	0.902984492210763	1.90929363961687	1.90574740481666	1.98033369825095	1.80596898442153	0.0624562443494822	1.20442413453641
A269010007	MET	FALSE	25	1.0076038917764	1.00485505649899	1.04648225103654	0.961886064280437	2.0152077835528	2.00971011299797	2.09296450207308	1.92377212856087	0.250972027278487	0.600374681210543
A269010007	NBN	FALSE	17	0.877845232865964	0.880248425676978	1.0886704850177	0.754184831872059	1.75569046573193	1.76049685135396	2.1773409700354	1.50836966374412	0.183046389523604	0.73743883288701
A269010007	NTRK1	FALSE	8	1.09089992536786	1.0952797989703	1.1331011986921	1.06988532754595	2.18179985073573	2.1905595979406	2.2662023973842	2.1397706550919	0.231425112588182	0.635589516314615
A269010007	Other	FALSE	284	0.967356201736428	0.963544516764576	8.08069739831133	0.311921214679766	1.93471240347286	1.92708903352915	16.1613947966227	0.623842429359531	0.0414291182552316	1.38269430978552
A269010007	PTEN	FALSE	9	0.976569282769371	0.968645361846884	1.01757495844501	0.922111450805076	1.95313856553874	1.93729072369377	2.03514991689001	1.84422290161015	0.520544118213677	0.28354245638443
A269010007	RET	FALSE	12	0.995570482303031	0.99185604692459	1.06127429564523	0.893114515267786	1.99114096460606	1.98371209384918	2.12254859129045	1.78622903053557	0.171632462825328	0.765400565598479
A269010007	TSC2	FALSE	4	1.00248328592255	1.01105998654834	1.04657605939911	0.992697314949142	2.0049665718451	2.02211997309668	2.09315211879823	1.98539462989828	0.499326634674013	0.301615267545052
A269010009	CCND1	FALSE	5	1.00877379442189	1.02660362129684	1.10801738491097	0.989007642596361	2.01754758884379	2.05320724259367	2.21603476982194	1.97801528519272	0.557354231139689	0.253868697588253
A269010009	CDK4	FALSE	7	0.822695026295228	0.813108884656579	0.882944575645178	0.71099348558067	1.64539005259046	1.62621776931316	1.76588915129036	1.42198697116134	0.228131857278898	0.641814063805466
A269010009	CREBBP	FALSE	29	0.974304251434694	1.0076208370334	1.25503400334054	0.898384240120171	1.94860850286939	2.0152416740668	2.51006800668109	1.79676848024034	0.0567786143740533	1.24581521020828
A269010009	DDR2	FALSE	7	0.977577053785308	0.968786424500971	1.01695318629217	0.910647699817667	1.95515410757062	1.93757284900194	2.03390637258433	1.82129539963533	0.137081072244392	0.863022507189343
A269010009	EGFR	FALSE	29	1.02464534961657	1.04145832172331	1.20059358974448	0.966213741573593	2.04929069923315	2.08291664344661	2.40118717948897	1.93242748314719	0.116876516617445	0.932272740574494
A269010009	ERBB2	FALSE	21	0.988059800783587	1.01110877036377	1.25462277116546	0.935790335062512	1.97611960156717	2.02221754072754	2.50924554233092	1.87158067012502	0.291666437256447	0.535113543291515
A269010009	FGFR3	FALSE	16	1.08639739292246	1.08228272673093	1.15931625877255	0.984479538407916	2.17279478584492	2.16456545346185	2.31863251754511	1.96895907681583	0.217875414146387	0.661791774356674
A269010009	GATA3	FALSE	7	1.0369491108596	1.02293482394495	1.06309729598143	0.925985443229353	2.0738982217192	2.0458696478899	2.12619459196287	1.85197088645871	0.145092848507147	0.838353993009711
A269010009	MDM2	FALSE	13	0.974350450496605	0.979204849975962	1.03443034201923	0.925906509716382	1.94870090099321	1.95840969995192	2.06886068403845	1.85181301943276	0.161829659776438	0.790941878911867
A269010009	MET	FALSE	25	1.04668871799006	1.04830060661064	1.1197901840034	0.967343091947304	2.09337743598011	2.09660121322127	2.2395803680068	1.93468618389461	0.125303835447504	0.902035635404945
